locustag,title,description,function,product,essential,protID
BSU24800,yqgW,unknown,unknown,unknown,no,P54500
BSU35030,nagR,transcriptional regulator ([wiki|GntR family]),regulator of the [[gene|8F4D075C9B9EF995E361F9BA5E8B52F42059C422]]-[[gene|0C8D7EAC2656E989E45B5B7E42FAA6D258956B56]]-[[gene|6D36D6360FE1CBFF5F64B2A6D1406405D6C6F7D5]] operon,transcriptional regulator ([wiki|GntR family]),no,O34817
BSU23360,ppiB,peptidyl-prolyl isomerase,protein folding,peptidyl-prolyl isomerase,no,P35137
BSU27180,yrhH,similar to methyltransferase,unknown,unknown,no,O05400
BSU09930,yhaM,RNase  3 5 exoribonuclease,RNA degradation,RNase YhaM,no,O07521
BSU16760,dapG,aspartokinase I (alpha and beta subunits),biosynthesis of lysine and peptidoglycan,aspartokinase I (alpha and beta subunits),yes,Q04795
BSU26640,czcO,similar to flavin-containing monooxygenase  facilitates cation export via [[protein|7FB5BCC16D688465A820F436F657C49625257884]],resistance to toxic metal ions,unknown,no,O07085
new23853962385479c,S860,new RNA feature  intergenic region,,intergenic region,,
new25629142563888,S927,new RNA feature  3'UTR of yqhB,,3'UTR of yqhB,,
BSU19420,yojK,similar to macrolide glycosyltransferase,unknown,unknown,no,O31853
BSUtRNA35,trnD-Phe,null,translation,transfer RNA-Phe,no,
BSU39620,yxeA,unknown,unknown,unknown,no,P54940
BSU19060,yobR,unknown,unknown,unknown,no,O34376
BSU15470,pyrR,transcriptional termination factor of the <i>pyr </i>operon,regulation of pyrimidine biosynthesis,transcriptional termination protein with minor uracil phosphoribosyltransferase activity,no,P39765
new348596348692,S118,new RNA feature  intergenic region,,intergenic region,,
BSU15020,ylbI,pantetheine-phosphate adenylyltransferase,lipopolysaccharide biosynthesis,pantetheine-phosphate adenylyltransferase,yes,O34797
new22152722215459c,S792,new RNA feature  3'UTR of yopA,,3'UTR of yopA,,
BSU17689,BSU_17689,,,,,
BSUmiscRNA54,BSU_misc_RNA_54,null,null,,,
BSU05590,ydgD,unknown,unknown,unknown,no,P96702
BSU12640,xkdJ,PBSX prophage,unknown,unknown,no,P54330
BSU01880,ybcI,component of the membrane potential-generating system [[protein|CCDDC414E266D86B9027EA67EA565D87357023B3|MpsA]]-[[protein|E04C67FB0EA3FFEC8FB68440F4661505C3DFDA29|MpsB]]-[[protein|6E063903E9E3B770CAACA9DF98DFA540FAE6FD3D|MpsC]],unknown,unknown,no,O34380
BSU28660,sspI,small acid-soluble spore protein (minor)  SASP,protection of spore DNA,small acid-soluble spore protein (minor)  SASP,no,P94537
BSU30360,yttA,unknown,unknown,unknown,no,Q795Q5
BSU35550,tuaG,sugar transferase,biosynthesis of teichuronic acid,sugar transferase,no,O32268
BSU34560,malL,alpha-glucosidase,starch and maltodextrin utilization,alpha-glucosidase,no,O06994
BSU21730,ypmS,unknown,unknown,unknown,no,P54179
BSU14450,ampS,aminopeptidase,required for biofilm formation,aminopeptidase,no,P39762
BSU28420,ysmA,similar to thioesterase,unknown,unknown,no,P11469
BSU25890,yqxI,unknown secreted protein,unknown,unknown,no,P24812
BSU27830,coxA,spore cortex lipoprotein,resistance of the spore,spore cortex protein,no,P94446
new41858174186091,S1571,new RNA feature  5'UTR of yyaQ,,5'UTR of yyaQ,,
BSU34290,epsI,glycosyltransferase  synthesis of extracellular poly-N-acetylglucosamine,synthesis of extracellular poly-N-acetylglucosamine,glycosyltransferase,no,P71058
BSU36410,mbl,cell shape-determining protein  forms filaments  the polymers control/restrict the mobility of the cell wall elongation enzyme complex  required for [[protein|4F9D70C4BB4FCA809BEAC341C3F8122FB7FD8872]] activity,[wiki|cell shape] determination,[[protein|A4C8719E06F774A6EB4D79757CC79CF89E453A54]]-like protein,yes,P39751
BSU16350,fliP,part of the flagellar type III export apparatus (flagellar Type III secretion system)  part of the CORE complex required for flagellum and nanotube assembly,flagellum and nanotube assembly,part of the type III CORE export apparatus,no,P35528
BSU09950,prsA,lipoprotein  post-translocational folding of exported proteins (post-translocation molecular chaperone),protein folding,post-translocation molecular chaperone,yes,P24327
new30330423033166,S1132,new RNA feature  5'UTR of ytsP,,5'UTR of ytsP,,
new551930551999,S177,new RNA feature  3'UTR of lrpA,,3'UTR of lrpA,,
BSU10000,yhaH,unknown,unknown,unknown,no,O07516
new17836601783762,S616,new RNA feature  5'UTR of pksC,,5'UTR of pksC,,
BSU35560,tuaF,biosynthesis of teichuronic acid,biosynthesis of teichuronic acid,unknown,no,O32269
BSU29970,ytkP,similar to cysteine synthase,unknown,unknown,no,O34476
BSU32060,yuiD,unknown,unknown,unknown,no,O32107
BSU26440,yrkO,unknown,unknown,unknown,no,P54442
BSU28910,pftA,pyruvate transporter,uptake of pyruvate,pyruvate transporter,no,P94515
BSU14040,ldt,L D-transpeptidase involved in cell wall synthesis,cell wall biosynthesis,L D-transpeptidase,no,O34816
BSU35420,flgN,flagellar filament assembly protein,flagellar filament assembly,flagellar filament assembly protein,no,P39808
BSU39610,yxeB,hydroxamate siderophore [wiki|ABC transporter] (only ferrioxamine) (binding protein),siderophore uptake,hydroxamate siderophore [wiki|ABC transporter],no,P54941
BSU36300,glcR,transcriptional repressor ([wiki|DeoR family]) of the [[gene|6F5831A480B72D17B7B3F0BF7AF147603B65CA49]]-[[gene|AF9523D3AA3C032B70175BCFFED34E9A42ED01AF]] operon,unknown,transcriptional repressor ([wiki|DeoR family]),no,P94591
BSU30540,asnB,asparagine synthetase (glutamine-hydrolysing)  amidates m-diaminopimelic acid,control of peptidoglycan hydrolysis,asparagine synthetase (glutamine-hydrolysing),yes,P54420
BSUtRNA62,trnB-Met3,null,translation,transfer RNA-Met,no,
new24068812407627,S871,new RNA feature  independent transcript,,independent transcript,,
BSU00120,pdxT,pyridoxal-5-phosphate synthase (glutaminase domain),pyridoxal-5-phosphate biosynthesis,pyridoxal-5-phosphate synthase (glutaminase domain),no,P37528
BSU26390,sigKC,[wiki|RNA polymerase ][wiki|sporulation]-specific [wiki|sigma factor ](SigK) (3' part of the interrupted [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene)  with [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]],late mother cell-specific gene expression,[wiki|RNA polymerase ][wiki|sporulation]-specific [wiki|sigma factor ](SigK) (3' part of the interrupted [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene),no,P12254
BSU19120,czrA,transcriptional repressor ([wiki|ArsR family])  [[gene|5BC6B02770E74FF6D453742832574A87BB2369B8]] and [[gene|7FB5BCC16D688465A820F436F657C49625257884]],regulation of resistance against toxic metal cations,transcriptional repressor ([wiki|ArsR family]),no,O31844
BSU31520,malK,two-component sensor kinase  regulation of malate uptake,regulation of malate uptake,two-component sensor kinase,no,O05250
BSU27320,greA,transcription elongation factor  resolves stalled [wiki|RNA polymerase] at promoter or promoter-proximal regions,transcription elongation,transcription elongation factor,no,P80240
BSU31310,yugP,unknown,unknown,unknown,no,O05248
BSU25940,yqcD,similar to phage-related protein,unknown,unknown,no,P45939
new34602063462957,S1290,antisense RNA for the [[gene|3F502A4DCB1DAD7C3F968465B13C35213240515B]]-[[gene|70B45E7428DB1F6AEF7D2FE3062CC86BE96674FC]]-[[gene|C48798FE13B1521236F5BC5786B9A02D7BC9A336]]-[[gene|1532EC3D741C5AB3D0B642741218FAE00AD460FA]] operon,control of osmolyte uptake,antisense RNA for the [[gene|3F502A4DCB1DAD7C3F968465B13C35213240515B]]-[[gene|70B45E7428DB1F6AEF7D2FE3062CC86BE96674FC]]-[[gene|C48798FE13B1521236F5BC5786B9A02D7BC9A336]]-[[gene|1532EC3D741C5AB3D0B642741218FAE00AD460FA]] operon,,
BSU20620,yoqI,unknown,unknown,unknown,no,O34339
new23402912340801,S844,new RNA feature  5'UTR of recU,,5'UTR of recU,,
BSU18420,yofA,transcriptional activator of [[gene|8AB7D225DBEE6BD695A4A8A2384D2C029B571C57]] at the onset of stationary phase,control of [[gene|8AB7D225DBEE6BD695A4A8A2384D2C029B571C57]] expression,transcriptional activator ([wiki|LysR family]),no,O34685
new16091651609275,S566,new RNA feature  5'UTR of ylmD,,5'UTR of ylmD,,
BSU13870,ykvZ,similar to transcriptional regulator ([wiki|LacI family]),unknown,transcriptional regulator ([wiki|LacI family]),no,O31690
BSU17680,thyA,thymidylate synthase A,biosynthesis of thymidine nucleotides,thymidylate synthase A,no,P0CI79
BSU16470,sigD,[wiki|RNA polymerase] [wiki|sigma factor] SigD,regulation of flagella  motility  chemotaxis and autolysis,[wiki|RNA polymerase] [wiki|sigma factor] SigD,no,P10726
BSU28130,hemB,porphobilinogen synthase,heme biosynthesis,porphobilinogen synthase,no,P30950
BSU34660,yvdB,putative anion transporter,unknown,putative anion transporter,no,O06984
BSU12880,ykcB,glucosyltransferase  transfer of glucose from C<sub>55</sub>-P-Glc to a target molecule,unknown,glucosyltransferase,no,O34575
BSU24440,yqhV,unknown,unknown,unknown,no,P49779
BSU21540,yolA,unknown,unknown,unknown,no,O31994
BSU09310,pgcA,alpha-phosphoglucomutase  required for UDP-glucose synthesis  inhibits [[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] ring assembly (indirect effect due to a defect in UDP-glucose synthesis)  possesses a secondary phosphoglucosamine mutase activity,interconversion of glucose 6-phosphate and alpha-glucose 1-phosphate,alpha-phosphoglucomutase,no,P18159
new19979581998066c,S679,new RNA feature  5'UTR of ppsA,,5'UTR of ppsA,,
BSU18110,ynfC,unknown,unknown,unknown,no,Q45067
new22651442265224c,S808,new RNA feature  3'UTR of bdbB,,3'UTR of bdbB,,
BSU03380,yckB,similar to amino acid [wiki|ABC transporter] (binding protein),unknown,unknown,no,P42400
new27921022792210c,S1036,new RNA feature  5'UTR of greA,,5'UTR of greA,,
BSU08100,acoR,transcriptional activator of the [[gene|B0A333BDFAE816B48B856A1DD91B73C41584A8E4]]-[[gene|5F953C3C91EB65A031D04A1D91F1CF501F8EFD09]]-[[gene|C4B6C3EE560C8BD353FEABB1A607C89C20DC8D34]]-[[gene|acoL ]]operon,regulation of acetoin utilization,transcriptional activator (for [[protein|1118A21CC581B0470EC6E7C178F2523CDCA70F93]]-dependent promoter),no,O31551
BSU03750,yclJ,two-component response regulator ([wiki|OmpR family])  active under anaerobic conditions,unknown,two-component response regulator ([wiki|OmpR family]),no,P94413
BSU39339,yxzL,unknown,unknown,unknown,-,C0H3T6
BSU05090,yddS,similar to metabolite transport protein,unknown,unknown,no,P96656
BSU09080,yhcH,similar to [wiki|ABC transporter] (ATP-binding protein),unknown,[wiki|ABC transporter] (ATP-binding protein),no,P54592
new1723817833c,S9,new RNA feature  independent transcript,,independent transcript,,
BSU18019,ynzL,unknown,unknown,unknown,-,C0H418
BSU33221,yvrHb,two-component response regulator ([wiki|OmpR family]),regulation cell surface maintenance,two-component response regulator ([wiki|OmpR family]),no,P94504
BSU09920,sbcE,SMC-like protein  involved in DNA double-strand break repair and competence,DNA double-strand break repair and competence,SMC-like protein,no,O08455
new150362150442,S57,new RNA feature  intergenic region,,intergenic region,,
BSU30840,yteA,sporulation protein,unknown,sporulation protein,no,P42408
BSU33720,opuBB,choline and arsenocholine [wiki|ABC transporter] (membrane protein),compatible solute transport,choline and arsenocholine [wiki|ABC transporter] (membrane protein),no,Q45461
BSU36130,ywrA,subunit of chromate exporter (with [[protein|E63704C51B53F05BAD9B35D3B6874DB9231B6D24]]),chromate detoxification,chromate exporter,no,O05215
BSU14320,yknU,similar to [wiki|ABC transporter] (ATP-binding protein),unknown,[wiki|ABC transporter] (ATP-binding protein),no,O31707
BSU25450,yqeT,similar to [[protein|F94A1C14912F35ADB4C611AA17D55268CC26160D|ribosomal protein L11]] methyltransferase,unknown,unknown,no,P54460
BSU20600,yoqK,unknown,unknown,unknown,no,O34326
BSU04280,ydaK,general stress protein  may act as c-di-GMP receptor  required for extracellular polysaccharide synthesis by [[protein|28D80C5497AE29A24AD6B9A1A713A2B3915F2CED]]-[[protein|961538BEDD27C24FC073AFB7AB3268E3D46783CC]]-[[protein|ADE0122D8FFF2F78B6D21031B7D02A323A13ED63]],unknown,putative c-di-GMP receptor protein  general stress protein,no,P96585
BSUtRNA59,trnB-Pro,null,translation,transfer RNA-Pro,no,
BSU21020,yonR,lysogenic repressor of [wiki|SP-beta prophage] ([wiki|Xre family]),repression of [wiki|SP-beta prophage] genes during lysogenic growth,lysogenic repressor of [wiki|SP-beta prophage],no,O31943
new36885793688715c,S1377,new RNA feature  5'UTR of pmi,,5'UTR of pmi,,
new549652549910,S174,new RNA feature  3'UTR of yddM,,3'UTR of yddM,,
BSU06860,yezE,similar to transcriptional regulator ([wiki|TetR family]),unknown,putative transcriptional regulator ([wiki|TetR family]),no,Q7WY76
BSU18800,penP,beta-lactamase,resistance to beta-lactam antibiotics,beta-lactamase,no,P39824
new40116854011824,S1506,new RNA feature  3'UTR of citH,,3'UTR of citH,,
BSU34760,glmR,accessory uridyltransferase  regulator of carbon partitioning between central metabolism and peptidoglycan biosynthesis  control of [wiki|cell shape]  required for correct localization of [[protein|A8EEC896B279CFDDE9C3A6F146A04EC822E33A4F|PBP1]],regulation of carbon partitioning between central metabolism and peptidoglycan biosynthesis  localization of [[protein|A8EEC896B279CFDDE9C3A6F146A04EC822E33A4F|PBP1]],activator of [[protein|4E23D2043D51C587027ABBF6335F148295E90B8F]] activity,no,O06974
BSU08740,ygzB,unknown,unknown,unknown,no,Q7WY74
BSU31550,nupO,[wiki|ABC transporter] for guanosine (ATP-binding protein),uptake of guanosine,[wiki|ABC transporter] for guanosine,no,O05253
BSU37310,fnr,transcriptional regulator of anaerobic genes,regulation of anaerobiosis  fermentation and overflow metabolism,transcription regulator (Crp family),no,P46908
new37691953769288c,S1414,new RNA feature  intergenic region,,intergenic region,,
BSU14180,ykuQ,tetrahydrodipicolinate acetylase,biosynthesis of lysine and peptidoglycan,tetrahydrodipicolinate acetylase,yes,O34981
new40227294023053c,S1511,new RNA feature  intergenic region,,intergenic region,,
new417763418267c,S128,new RNA feature  5'UTR of yclF,,5'UTR of yclF,,
BSU39060,citH,sporulation-specific secondary transporter of divalent metal ions/citrate complexes,citrate uptake,secondary transporter of divalent metal ions/citrate complexes,no,P42308
BSUtRNA46,trnS-Ser,null,translation,transfer RNA-Ser,no,
new10745731076008,S354,new RNA feature  3'UTR of yhzF,,3'UTR of yhzF,,
BSU06800,yezA,unknown,unknown,unknown,no,O31505
BSU18780,yoaW,unknown,unknown,unknown,no,O34541
BSU32010,besA,Ferri-bacillibactin esterase,iron acquisition,ferri-bacillibactin esterase,no,O32102
new22824862282578,S815,new RNA feature  3'UTR of yokD,,3'UTR of yokD,,
BSU24310,folD,methylenetetrahydrofolate dehydrogenase (NADP),formylation of Met-tRNA(fMet),methylenetetrahydrofolate dehydrogenase (NADP),no,P54382
BSU08550,sspK,small acid-soluble spore protein (minor) SASP,protection of spore DNA,small acid-soluble spore protein (minor) SASP,no,Q7WY75
new36255083625640c,S1347,new RNA feature  5'UTR of ftsE,,5'UTR of ftsE,,
BSU21210,yomV,unknown,unknown,unknown,no,O31962
new39516623951749c,S1478,new RNA feature  5'UTR of menA,,5'UTR of menA,,
BSU14790,ylaI,unknown,unknown,unknown,no,O07633
BSU25680,yqeG,putative [wiki|HAD superfamily] phosphatase,unknown,unknown,yes,P54452
new29786022978702c,S1098,new RNA feature  intergenic region,,intergenic region,,
BSU35190,yvkC,flavonoid phosphate synthetase,unknown,flavonoid phosphate synthetase,no,O34796
BSU40060,gntK,gluconokinase,gluconate utilization,gluconokinase,no,P12011
BSU16890,ymfK/1,part of the <i>ymfK</i> pseudogene,unknwon,unknown,no,
BSU33500,copA,copper-exporting ATPase  resistance to copper,copper export  detoxification,copper transporting ATPase,no,O32220
BSUmiscRNA21,BSU_misc_RNA_21,null,null,,,
BSU13480,ykrK,transcription repressor of [[gene|htpX ]]expression,regulation of membrane protein quality control,transcription repressor of [[gene|62B6875301B458F04E3F65717AD3A5925A9C4973]],no,O31656
new19142331914999c,S652,new RNA feature  3' of S653,,3' of S653,,
BSU28970,ytxB,DedA superfamily member (COG0398)  putative lipid transporter,unknown,unknown,no,P06568
BSU16880,ymfJ,unknown,unknown,unknown,no,O31768
BSU35750,tagA,UDP-N-acetyl-D-mannosamine transferase,biosynthesis of teichoic acid,UDP-N-acetyl-D-mannosamine transferase,yes,P27620
BSU06320,mneS,secondary manganese (II) efflux pump  contributes to iron efflux,Mn(II) export,manganese (II) efflux pump,no,P46348
new30551933055921,S1144,new RNA feature  3'UTR of ytoQ,,3'UTR of ytoQ,,
BSU14890,ctaC,cytochrome-c oxidase (caa<sub>3</sub>) (subunit II),respiration,cytochrome-c oxidase (subunit II),no,P24011
BSU34080,yvfS,similar to [wiki|ABC transporter] (transmembrane subunit),unknown,[wiki|ABC transporter] (transmembrane subunit),no,O07017
BSU03190,ycgL,unknown,unknown,unknown,no,P94389
BSU10110,pbpF,class A penicillin-binding protein 2C,bifunctional glucosyltransferase/ transpeptidase  synthesis of spore peptidoglycan,penicillin-binding protein 2C,no,P38050
BSU12870,mhqA,hydroquinone-specific dioxygenase  confers resistence to methyl-hydroxyquinone,resistence to methyl-hydroxyquinone,hydroquinone-specific dioxygenase,no,O34689
BSU07570,yflS,malate transporter,malate uptake,malate transporter,no,O34726
BSU06300,cotA,laccase  bilirubin oxidase  spore coat protein (outer),resistance of the spore,laccase  bilirubin oxidase,no,P07788
new37454143746298,S1403,new RNA feature  3'UTR of rapD,,3'UTR of rapD,,
BSU40790,yyaO,unknown,unknown,unknown,no,P37509
BSU35540,tuaH,sugar transferase,biosynthesis of teichuronic acid,sugar transferase,no,O32267
BSU20450,yorA,unknown,unknown,unknown,no,O31912
BSU10430,yhxD,general stress protein  similar to alcohol dehydrogenase,survival of salt and ethanol stresses,unknown,no,P40398
BSU19540,yodB,[wiki|MarR family|MarR/DUF24 family] transcription repressor of [[gene|CFFFFE96FB7AEEF7190F81332369F0A6834C34A4]]  [[gene|B7A0D1B3CAA2733A33BCCDDB6774ABF1A0223473]]-[[gene|catE ]]and [[gene|yodC ]]expression,regulation of quinone and diamide detoxification,[wiki|MarR family|MarR/DUF24 family] transcription repressor,no,O34844
